Date,Clicks,Impressions,CTR,Position
2025-01-28,2,86,2.33%,7.4
2025-01-29,1,90,1.11%,7
2025-01-30,1,61,1.64%,8.5
2025-01-31,1,82,1.22%,18.8
2025-02-01,1,58,1.72%,14
2025-02-02,2,88,2.27%,7.6
2025-02-03,0,76,0%,7.7
2025-02-04,0,42,0%,10
2025-02-05,2,76,2.63%,7.3
2025-02-06,1,71,1.41%,7.9
2025-02-07,1,85,1.18%,16.9
2025-02-08,2,53,3.77%,11.5
2025-02-09,4,56,7.14%,7.6
2025-02-10,0,56,0%,9.7
2025-02-11,0,93,0%,6.6
2025-02-12,1,74,1.35%,11.1
2025-02-13,1,62,1.61%,8
2025-02-14,2,54,3.7%,8.2
2025-02-15,3,46,6.52%,12.5
2025-02-16,0,45,0%,8.7
2025-02-17,1,55,1.82%,7.6
2025-02-18,0,55,0%,6.7
2025-02-19,0,44,0%,14.6
2025-02-20,0,62,0%,10.1
2025-02-21,0,62,0%,12.6
2025-02-22,0,42,0%,9
2025-02-23,4,49,8.16%,10.1
2025-02-24,1,69,1.45%,12.1
2025-02-25,5,85,5.88%,7.8
2025-02-26,0,49,0%,9
2025-02-27,2,54,3.7%,5.8
2025-02-28,4,41,9.76%,16.9
2025-03-01,2,54,3.7%,10.4
2025-03-02,1,38,2.63%,8.3
2025-03-03,0,42,0%,9.7
2025-03-04,0,38,0%,10
2025-03-05,1,38,2.63%,9.7
2025-03-06,4,34,11.76%,7.7
2025-03-07,0,36,0%,23
2025-03-08,0,25,0%,13.9
2025-03-09,1,11,9.09%,9.2
2025-03-10,1,40,2.5%,11.3
2025-03-11,3,27,11.11%,6.6
2025-03-12,2,33,6.06%,13.7
2025-03-13,1,46,2.17%,7.5
2025-03-14,1,38,2.63%,26.6
2025-03-15,1,24,4.17%,6.8
2025-03-16,0,30,0%,7.6
2025-03-17,3,54,5.56%,6.6
2025-03-18,1,40,2.5%,9
2025-03-19,2,37,5.41%,7.3
2025-03-20,3,46,6.52%,8
2025-03-21,1,47,2.13%,24.6
2025-03-22,3,29,10.34%,10.2
2025-03-23,0,18,0%,15.4
2025-03-24,0,26,0%,8.8
2025-03-25,0,20,0%,7.6
2025-03-26,2,34,5.88%,5.8
2025-03-27,1,15,6.67%,7.1
2025-03-28,1,34,2.94%,20.6
2025-03-29,0,19,0%,10.7
2025-03-30,0,14,0%,11.4
2025-03-31,1,11,9.09%,23.6
2025-04-01,2,24,8.33%,13.4
2025-04-02,2,35,5.71%,12.3
2025-04-03,3,35,8.57%,14.8
2025-04-04,2,33,6.06%,20.9
2025-04-05,1,41,2.44%,14
2025-04-06,1,39,2.56%,7.3
2025-04-07,0,47,0%,8.7
2025-04-08,3,46,6.52%,10.8
2025-04-09,0,50,0%,8
2025-04-10,0,49,0%,6.3
2025-04-11,1,32,3.12%,14.1
2025-04-12,2,46,4.35%,9.8
2025-04-13,1,62,1.61%,9.5
2025-04-14,1,59,1.69%,9.9
2025-04-15,0,31,0%,12.2
2025-04-16,0,27,0%,9.7
2025-04-17,0,30,0%,14.3
2025-04-18,0,55,0%,35.2
2025-04-19,1,46,2.17%,9.2
2025-04-20,1,37,2.7%,10.6
2025-04-21,2,63,3.17%,10.3
2025-04-22,2,70,2.86%,23.2
2025-04-23,1,41,2.44%,10.6
2025-04-24,0,55,0%,10.1
2025-04-25,0,80,0%,24.4
2025-04-26,0,104,0%,5.8
2025-04-27,1,78,1.28%,8
2025-04-28,1,80,1.25%,9.9
2025-04-29,0,101,0%,8.1
2025-04-30,2,73,2.74%,10.9
2025-05-01,3,75,4%,8.7
2025-05-02,3,66,4.55%,22.4
2025-05-03,2,38,5.26%,14.1
2025-05-04,2,63,3.17%,9.8
2025-05-05,0,63,0%,12.6
2025-05-06,3,86,3.49%,8.1
2025-05-07,2,46,4.35%,12.1
2025-05-08,3,72,4.17%,9.3
2025-05-09,4,66,6.06%,24
2025-05-10,1,50,2%,11.9
2025-05-11,3,53,5.66%,10.1
2025-05-12,1,62,1.61%,9.7
2025-05-13,2,96,2.08%,9.6
2025-05-14,1,111,0.9%,8.2
2025-05-15,0,98,0%,11.6
2025-05-16,1,111,0.9%,15.1
2025-05-17,1,96,1.04%,11.2
2025-05-18,1,105,0.95%,11.2
2025-05-19,2,143,1.4%,8.2
2025-05-20,2,119,1.68%,11.4
2025-05-21,2,105,1.9%,12.6
2025-05-22,2,102,1.96%,8.5
2025-05-23,2,68,2.94%,35.2
2025-05-24,2,51,3.92%,9.9
2025-05-25,6,51,11.76%,10.7
2025-05-26,4,72,5.56%,7.1
2025-05-27,5,52,9.62%,5.7
2025-05-28,2,39,5.13%,10.9
2025-05-29,1,43,2.33%,26
2025-05-30,0,45,0%,39.3
2025-05-31,2,37,5.41%,19.9
2025-06-01,2,50,4%,15.1
2025-06-02,3,51,5.88%,10.7
2025-06-03,3,73,4.11%,34
2025-06-04,3,73,4.11%,19.3
2025-06-05,3,64,4.69%,21
2025-06-06,0,79,0%,22.6
2025-06-07,3,42,7.14%,27.2
2025-06-08,0,35,0%,40.1
2025-06-09,0,41,0%,22.7
2025-06-10,6,66,9.09%,18.8
2025-06-11,4,66,6.06%,20.5
2025-06-12,7,63,11.11%,17.3
2025-06-13,3,80,3.75%,33.6
2025-06-14,4,55,7.27%,19.4
2025-06-15,3,54,5.56%,23
2025-06-16,0,55,0%,20.3
2025-06-17,3,60,5%,21.4
2025-06-18,2,58,3.45%,17.9
2025-06-19,5,67,7.46%,21.5
2025-06-20,2,66,3.03%,20.5
2025-06-21,2,65,3.08%,15.8
2025-06-22,4,63,6.35%,17.8
2025-06-23,4,60,6.67%,29.1
2025-06-24,9,96,9.38%,12.1
2025-06-25,4,68,5.88%,21.4
2025-06-26,3,48,6.25%,25.4
2025-06-27,0,69,0%,19.6
2025-06-28,2,45,4.44%,23.3
2025-06-29,4,60,6.67%,16.2
2025-06-30,5,60,8.33%,14.9
2025-07-01,5,97,5.15%,13.9
2025-07-02,4,71,5.63%,16.3
2025-07-03,6,84,7.14%,13.7
2025-07-04,5,71,7.04%,11.2
2025-07-05,3,49,6.12%,17.6
2025-07-06,3,50,6%,15.9
2025-07-07,7,65,10.77%,15.2
2025-07-08,6,69,8.7%,16.1
2025-07-09,8,69,11.59%,11.7
2025-07-10,6,56,10.71%,16.4
2025-07-11,3,50,6%,17.2
2025-07-12,4,51,7.84%,17.6
2025-07-13,4,40,10%,21.1
2025-07-14,4,59,6.78%,14.7
2025-07-15,3,46,6.52%,19
2025-07-16,2,50,4%,14.1
2025-07-17,4,42,9.52%,18.3
2025-07-18,1,42,2.38%,19.8
2025-07-19,0,39,0%,20.1
2025-07-20,2,51,3.92%,18.8
2025-07-21,3,47,6.38%,19.2
2025-07-22,1,61,1.64%,13
2025-07-23,1,52,1.92%,22.5
2025-07-24,0,59,0%,12.6
2025-07-25,3,51,5.88%,14.1
2025-07-26,0,30,0%,29.5
2025-07-27,0,48,0%,19.4
2025-07-28,4,61,6.56%,16.2
2025-07-29,1,51,1.96%,20.4
2025-07-30,3,45,6.67%,19.8
2025-07-31,4,52,7.69%,22.2
2025-08-01,0,37,0%,21.6
2025-08-02,4,43,9.3%,19.5
2025-08-03,3,37,8.11%,21.1
2025-08-04,2,42,4.76%,16.7
2025-08-05,5,42,11.9%,17
2025-08-06,2,42,4.76%,22.5
2025-08-07,0,47,0%,15.7
2025-08-08,3,41,7.32%,18.2
2025-08-09,1,33,3.03%,17.8
2025-08-10,1,32,3.12%,26.1
2025-08-11,2,38,5.26%,19.3
2025-08-12,2,57,3.51%,13.1
2025-08-13,1,69,1.45%,18.8
2025-08-14,2,55,3.64%,18.5
2025-08-15,1,53,1.89%,18
2025-08-16,1,54,1.85%,19.7
2025-08-17,0,66,0%,18.4
2025-08-18,3,48,6.25%,14.5
2025-08-19,1,41,2.44%,21.2
2025-08-20,0,41,0%,23.6
2025-08-21,1,45,2.22%,21.5
2025-08-22,0,30,0%,14.7
2025-08-23,3,52,5.77%,20.7
2025-08-24,4,58,6.9%,19.2
2025-08-25,5,47,10.64%,16.8
2025-08-26,6,68,8.82%,15.8
2025-08-27,2,70,2.86%,10.9
2025-08-28,2,62,3.23%,14.8
2025-08-29,4,50,8%,14.3
2025-08-30,3,66,4.55%,10
2025-08-31,3,52,5.77%,13.1
2025-09-01,0,81,0%,10
2025-09-02,3,66,4.55%,11.3
2025-09-03,8,108,7.41%,9.5
2025-09-04,1,81,1.23%,9.9
2025-09-05,2,50,4%,9.9
2025-09-06,3,50,6%,12.5
2025-09-07,4,63,6.35%,12.3
2025-09-08,7,111,6.31%,8.8
2025-09-09,6,95,6.32%,10.5
2025-09-10,2,86,2.33%,10.6
2025-09-11,4,141,2.84%,10.1
2025-09-12,11,117,9.4%,5.3
2025-09-13,6,74,8.11%,6.1
2025-09-14,2,72,2.78%,8
2025-09-15,7,85,8.24%,5.7
2025-09-16,2,71,2.82%,7.2
2025-09-17,3,61,4.92%,6.1
2025-09-18,3,86,3.49%,5.7
2025-09-19,2,74,2.7%,6.8
2025-09-20,6,95,6.32%,4.8
2025-09-21,3,58,5.17%,6.7
2025-09-22,2,84,2.38%,5
2025-09-23,8,73,10.96%,5.1
2025-09-24,5,100,5%,5
2025-09-25,3,82,3.66%,4.8
2025-09-26,5,94,5.32%,7.1
2025-09-27,4,66,6.06%,6.2
2025-09-28,2,37,5.41%,14.8
2025-09-29,3,42,7.14%,8.8
2025-09-30,2,58,3.45%,6.6
2025-10-01,3,60,5%,6.3
2025-10-02,1,72,1.39%,4.7
2025-10-03,4,82,4.88%,6.7
2025-10-04,1,65,1.54%,6.2
2025-10-05,3,49,6.12%,5
2025-10-06,4,65,6.15%,5.3
2025-10-07,3,55,5.45%,6.4
2025-10-08,4,93,4.3%,7.1
2025-10-09,2,75,2.67%,8.1
2025-10-10,5,104,4.81%,6.3
2025-10-11,3,85,3.53%,5.3
2025-10-12,1,64,1.56%,5.1
2025-10-13,4,63,6.35%,6.2
2025-10-14,2,76,2.63%,7
2025-10-15,5,85,5.88%,6.7
2025-10-16,2,87,2.3%,7
2025-10-17,3,70,4.29%,5.4
2025-10-18,1,70,1.43%,4.5
2025-10-19,2,83,2.41%,6
2025-10-20,4,60,6.67%,5.5
2025-10-21,2,81,2.47%,6.6
2025-10-22,1,72,1.39%,6.8
2025-10-23,2,73,2.74%,5.4
2025-10-24,1,83,1.2%,6.2
2025-10-25,4,54,7.41%,5.6
2025-10-26,6,104,5.77%,6.1
2025-10-27,4,90,4.44%,5.1
2025-10-28,1,53,1.89%,6.1
2025-10-29,2,63,3.17%,7.2
2025-10-30,3,65,4.62%,6.8
2025-10-31,0,41,0%,7.6
2025-11-01,0,50,0%,5.2
2025-11-02,1,44,2.27%,5.5
2025-11-03,2,39,5.13%,8.2
2025-11-04,1,29,3.45%,11.2
2025-11-05,1,31,3.23%,5.3
2025-11-06,0,32,0%,5.9
2025-11-07,0,48,0%,7.3
2025-11-08,1,41,2.44%,7.2
2025-11-09,3,40,7.5%,5.5
2025-11-10,2,37,5.41%,8.7
2025-11-11,2,43,4.65%,5.1
2025-11-12,1,22,4.55%,8.5
2025-11-13,0,26,0%,6.6
2025-11-14,1,9,11.11%,6.4
2025-11-15,0,14,0%,4.9
2025-11-16,1,19,5.26%,7.9
2025-11-17,3,22,13.64%,6
2025-11-18,1,34,2.94%,7.7
2025-11-19,2,50,4%,8.6
2025-11-20,2,35,5.71%,6.4
2025-11-21,1,26,3.85%,7.4
2025-11-22,1,30,3.33%,5.4
2025-11-23,0,49,0%,8.7
2025-11-24,0,43,0%,7.7
2025-11-25,0,45,0%,6.3
2025-11-26,1,41,2.44%,8.8
2025-11-27,1,58,1.72%,14.4
2025-11-28,2,72,2.78%,4.5
2025-11-29,2,55,3.64%,5.6
2025-11-30,0,39,0%,7.2
2025-12-01,4,56,7.14%,5.3
2025-12-02,0,35,0%,6.9
2025-12-03,5,37,13.51%,6.9
2025-12-04,1,31,3.23%,7
2025-12-05,1,21,4.76%,8.3
2025-12-06,0,16,0%,7.4
2025-12-07,0,31,0%,6.5
2025-12-08,0,19,0%,5.2
2025-12-09,0,31,0%,8
2025-12-10,1,48,2.08%,4.5
2025-12-11,0,30,0%,6.1
2025-12-12,4,94,4.26%,7.9
2025-12-13,2,81,2.47%,8.3
2025-12-14,1,66,1.52%,6.5
2025-12-15,0,72,0%,10.1
2025-12-16,1,66,1.52%,7.9
2025-12-17,4,97,4.12%,7.1
2025-12-18,1,79,1.27%,11
2025-12-19,5,60,8.33%,8.6
2025-12-20,15,99,15.15%,7.4
2025-12-21,0,72,0%,7.9
2025-12-22,1,41,2.44%,6.2
2025-12-23,3,82,3.66%,6.8
2025-12-24,3,81,3.7%,6.6
2025-12-25,5,82,6.1%,7.2
2025-12-26,2,75,2.67%,11.6
2025-12-27,2,73,2.74%,7.5
2025-12-28,0,97,0%,9.2
2025-12-29,2,91,2.2%,8.5
2025-12-30,2,89,2.25%,7.8
2025-12-31,1,62,1.61%,6
2026-01-01,0,63,0%,8.1
2026-01-02,4,69,5.8%,7
2026-01-03,0,82,0%,8
2026-01-04,0,52,0%,9.4
2026-01-05,0,39,0%,10.1
2026-01-06,0,56,0%,7.8
2026-01-07,2,57,3.51%,7
2026-01-08,3,54,5.56%,5.5
2026-01-09,2,47,4.26%,6.1
2026-01-10,3,53,5.66%,5.6
2026-01-11,0,33,0%,4.6
2026-01-12,3,47,6.38%,6.7
2026-01-13,1,50,2%,9.4
2026-01-14,1,55,1.82%,10.8
2026-01-15,3,46,6.52%,10.6
2026-01-16,3,73,4.11%,7.9
2026-01-17,1,81,1.23%,7.8
2026-01-18,0,64,0%,8.4
2026-01-19,1,81,1.23%,8.5
2026-01-20,1,63,1.59%,7.4
2026-01-21,2,119,1.68%,10.1
2026-01-22,2,73,2.74%,10.9
2026-01-23,1,61,1.64%,9.8
2026-01-24,2,93,2.15%,6.1
2026-01-25,1,78,1.28%,9.1
2026-01-26,0,77,0%,7.5
2026-01-27,3,94,3.19%,8.8
2026-01-28,1,79,1.27%,8.2
2026-01-29,1,76,1.32%,8.5
2026-01-30,1,72,1.39%,11.3
2026-01-31,3,54,5.56%,7.1
2026-02-01,0,60,0%,8.3
2026-02-02,0,71,0%,11.9
2026-02-03,1,65,1.54%,9.5
2026-02-04,2,72,2.78%,9.3
2026-02-05,3,83,3.61%,7
2026-02-06,2,78,2.56%,10.4
2026-02-07,6,1131,0.53%,12.6
2026-02-08,0,516,0%,12.7
2026-02-09,0,79,0%,6.1
2026-02-10,1,107,0.93%,8.8
2026-02-11,4,82,4.88%,7.2
2026-02-12,3,73,4.11%,5.5
2026-02-13,0,79,0%,7.2
2026-02-14,0,67,0%,7.7
2026-02-15,4,78,5.13%,6.3
2026-02-16,2,99,2.02%,7
2026-02-17,1,79,1.27%,6.2
2026-02-18,7,108,6.48%,8
2026-02-19,1,78,1.28%,7.4
2026-02-20,3,67,4.48%,6.9
2026-02-21,2,72,2.78%,9.1
2026-02-22,0,73,0%,6.9
2026-02-23,1,72,1.39%,8.7
2026-02-24,0,79,0%,8.1
2026-02-25,2,94,2.13%,7.5
2026-02-26,1,81,1.23%,9.5
2026-02-27,7,68,10.29%,10
2026-02-28,1,56,1.79%,6.9
2026-03-01,1,53,1.89%,9.8
2026-03-02,1,87,1.15%,9.5
2026-03-03,0,81,0%,9.1
2026-03-04,1,108,0.93%,7.1
2026-03-05,0,94,0%,10.1
2026-03-06,0,84,0%,10.6
2026-03-07,0,78,0%,8.2
2026-03-08,1,59,1.69%,7.2
2026-03-09,0,47,0%,5.9
2026-03-10,1,55,1.82%,5.9
2026-03-11,2,27,7.41%,6
2026-03-12,2,77,2.6%,7.3
2026-03-13,1,68,1.47%,10.5
2026-03-14,1,60,1.67%,6.9
2026-03-15,0,67,0%,8.5
2026-03-16,0,66,0%,9.5
2026-03-17,1,37,2.7%,6.9
2026-03-18,2,49,4.08%,8.7
2026-03-19,2,53,3.77%,6.1
2026-03-20,1,37,2.7%,7.4
2026-03-21,3,52,5.77%,6
2026-03-22,1,62,1.61%,7.5
2026-03-23,2,57,3.51%,5.8
2026-03-24,2,54,3.7%,7.1
2026-03-25,0,50,0%,8.7
2026-03-26,6,70,8.57%,4.6
2026-03-27,5,70,7.14%,5.5
2026-03-28,2,57,3.51%,5.4
2026-03-29,2,65,3.08%,5.3
2026-03-30,5,79,6.33%,4.3
2026-03-31,7,67,10.45%,4.7
2026-04-01,3,49,6.12%,4.6
2026-04-02,3,59,5.08%,5.9
2026-04-03,3,61,4.92%,6
